build_number,execution_time,name,status,duration_ms,severity,priority,executed_by,defect,error,longrepr,screenshot
140,2025-12-07 14:43:20,Validate user can login successfully,failed,438,High,P1,Silumi,None,,"tests/test_1login_ui.py:16: in test_valid_login
    assert ""inventory"" in page.url, ""Login failed""
E   AssertionError: Login failed
E   assert 'inventory' in 'https://www.saucedemo.com/'
E    +  where 'https://www.saucedemo.com/' = <Page url='https://www.saucedemo.com/'>.url
METADATA:{""severity"": ""High"", ""priority"": ""P1"", ""executed_by"": ""Silumi"", ""defect"": ""None"", ""description"": ""Validate user can login successfully""}
SCREENSHOT:/home/runner/work/python_playwright_ui_pipeline/python_playwright_ui_pipeline/results/screenshots/1765118596_tests_test_1login_ui.py_test_valid_login_chromium_.png",https://raw.githubusercontent.com/silumi95/python_playwright_ui_pipeline/main/results/screenshots/1765118596_tests_test_1login_ui.py_test_valid_login_chromium_.png
140,2025-12-07 14:43:20,Validate user can add one item to cart successfully,passed,338,Medium,P2,Silumi,None,,"METADATA:{""severity"": ""Medium"", ""priority"": ""P2"", ""executed_by"": ""Silumi"", ""defect"": ""None"", ""description"": ""Validate user can add one item to cart successfully""}",
140,2025-12-07 14:43:20,Validate user can logout successfully,passed,1206,Medium,P2,Silumi,None,,"METADATA:{""severity"": ""Medium"", ""priority"": ""P2"", ""executed_by"": ""Silumi"", ""defect"": ""None"", ""description"": ""Validate user can logout successfully""}",
140,2025-12-07 14:43:20,Validate user can't login with invalid credentials,passed,242,Medium,P2,Silumi,LoginError,,"METADATA:{""severity"": ""Medium"", ""priority"": ""P2"", ""executed_by"": ""Silumi"", ""defect"": ""LoginError"", ""description"": ""Validate user can't login with invalid credentials""}",
140,2025-12-07 14:43:20,Validate user can't login with empty username and password,passed,224,Low,P3,Silumi,None,,"METADATA:{""severity"": ""Low"", ""priority"": ""P3"", ""executed_by"": ""Silumi"", ""defect"": ""None"", ""description"": ""Validate user can't login with empty username and password""}",
140,2025-12-07 14:43:20,Validate Locked-out user can't login,passed,250,High,P1,Silumi,LockedUser,,"METADATA:{""severity"": ""High"", ""priority"": ""P1"", ""executed_by"": ""Silumi"", ""defect"": ""LockedUser"", ""description"": ""Validate Locked-out user can't login""}",
