build_number,execution_time,name,status,duration_ms,error,screenshot,longrepr
0,2025-11-20 07:58:53,tests/test_1login_ui.py::test_valid_login,failed,3435,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-20 07:58:53,tests/test_cart_ui.py::test_add_item_to_cart,passed,4181,,,
0,2025-11-20 07:58:53,tests/test_logout_ui.py::test_logout_after_login,failed,928,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-20 07:58:53,tests/test_negative_ui.py::test_invalid_credentials,passed,1354,,,
0,2025-11-20 07:58:53,tests/test_negative_ui.py::test_empty_fields,passed,1280,,,
0,2025-11-20 07:58:53,tests/test_negative_ui.py::test_locked_out_user,passed,1291,,,
0,2025-11-21 08:49:56,tests/test_1login_ui.py::test_valid_login,passed,2709,,,
0,2025-11-21 08:49:56,tests/test_cart_ui.py::test_add_item_to_cart,failed,4478,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 08:49:56,tests/test_logout_ui.py::test_logout_after_login,failed,512,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 08:49:56,tests/test_negative_ui.py::test_invalid_credentials,passed,1073,,,
0,2025-11-21 08:49:56,tests/test_negative_ui.py::test_empty_fields,passed,793,,,
0,2025-11-21 08:49:56,tests/test_negative_ui.py::test_locked_out_user,passed,835,,,
0,2025-11-21 09:04:00,tests/test_1login_ui.py::test_valid_login,passed,3168,,,
0,2025-11-21 09:04:00,tests/test_cart_ui.py::test_add_item_to_cart,passed,933,,,
0,2025-11-21 09:04:00,tests/test_logout_ui.py::test_logout_after_login,passed,1863,,,
0,2025-11-21 09:04:00,tests/test_negative_ui.py::test_invalid_credentials,passed,824,,,
0,2025-11-21 09:04:00,tests/test_negative_ui.py::test_empty_fields,failed,502,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:04:00,tests/test_negative_ui.py::test_locked_out_user,passed,818,,,
0,2025-11-21 09:10:27,tests/test_1login_ui.py::test_valid_login,failed,2842,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:10:27,tests/test_cart_ui.py::test_add_item_to_cart,passed,928,,,
0,2025-11-21 09:10:27,tests/test_logout_ui.py::test_logout_after_login,passed,2000,,,
0,2025-11-21 09:10:27,tests/test_negative_ui.py::test_invalid_credentials,passed,910,,,
0,2025-11-21 09:10:27,tests/test_negative_ui.py::test_empty_fields,passed,794,,,
0,2025-11-21 09:10:27,tests/test_negative_ui.py::test_locked_out_user,passed,843,,,
0,2025-11-21 09:29:39,tests/test_1login_ui.py::test_valid_login,failed,7793,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load""",,
0,2025-11-21 09:29:39,tests/test_cart_ui.py::test_add_item_to_cart,passed,5034,,,
0,2025-11-21 09:29:39,tests/test_logout_ui.py::test_logout_after_login,passed,1784,,,
0,2025-11-21 09:29:39,tests/test_negative_ui.py::test_invalid_credentials,passed,825,,,
0,2025-11-21 09:29:39,tests/test_negative_ui.py::test_empty_fields,passed,803,,,
